ResponseID,Response_Zip_Code
1000,93440
1001,928053811
1002,900621538
1003,900021746
1004,932574653
1005,914034627
1006,902424707
1007,918013005
1008,926835451
1009,900471721
1010,931053900
1011,900293357
1012,922519754
1013,932572711
1014,902223820
1015,917546011
1016,900163638
1017,914051746
1018,927043112
1019,900166005
1020,912053874
1021,928053581
1022,900113116
1023,923358068
1024,900112326
1025,900225318
1026,917617130
1027,922018944
1028,928792337
1029,900116084
1030,900113402
1031,912143794
1032,931052039
1033,900085351
1034,900031867
1035,900331320
1036,914021650
1037,923766765
1038,903025462
1039,903042530
1040,900311533
1041,907314812
1042,932305879
1043,928024915
1044,914061625
1045,911061053
1046,912022474
1047,922319701
1048,934552184
1049,932152545
1050,928014047
1051,932154127
1052,900331763
1053,902221008
1054,900112525
1055,900312821
1056,915021139
1057,903012660
1058,932452482
1059,916011889
1060,900195407
1061,907442622
1062,932153314
1063,914111511
1064,906703155
1065,917025012
1066,912062373
1067,927014202
1068,930304433
1069,931054333
1070,911061207
1071,912022172
1072,902623402
1073,922499744
1074,914026953
1075,914031414
1076,925012573
1077,922015083
1078,900693084
1079,917613303
1080,932153150
1081,914021782
1082,932302313
1083,913403044
1084,917223023
1085,900221238
1086,902223713
1087,922434700
1088,900113313
1089,935342230
1090,913451223
1091,924076633
1092,907323201
1093,900371517
1094,900113072
1095,917231426
1096,902803018
1097,934056344
1098,925035329
1099,934553906
1100,902625068
1101,924054522
1102,900654324
1103,916014214
1104,932914017
1105,902806820
1106,930361741
1107,900467423
1108,917462402
1109,935341430
1110,900164232
1111,900583818
1112,914054815
1113,900082750
1114,900162405
1115,900033021
1116,925823108
1117,922014576
1118,900621420
1119,907442520
1120,932453412
1121,913350911
1122,900424359
1123,922363409
1124,900471531
1125,900323611
1126,928055048
1127,902807046
1128,900162745
1129,935365138
1130,934363142
1131,913524170
1132,922315102
1133,932729636
1134,914053455
1135,900474239
1136,913314129
1137,934367421
1138,922512538
1139,925444116
1140,913421855
1141,900445904
1142,913253688
1143,907442793
1144,900433930
1145,932304448
1146,900592329
1147,917763027
1148,913523984
1149,912052505
1150,900432429
